,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 10:03:32:899 AM,42018.5,-48909.839844,4890.859863,4.0,-6.0,-1.0,237.270004,-110.331009,11.464001,-7.521,412.0,-46.0,26.0,-0.03,1.0,0.0,false
May 22 2024 10:03:33:5 AM,42013.058594,-48909.269531,4890.620117,5.0,-6.0,-1.0,237.511017,-16.308001,1.523,-1.447,940.0,-99.0,61.0,-0.03,1.0,0.0,false
May 22 2024 10:03:33:108 AM,42012.660156,-48909.257812,4890.569824,5.0,-6.0,-1.0,237.558014,-2.047,-0.246,-0.35,143.0,-18.0,11.0,-0.03,1.0,0.0,false
May 22 2024 10:03:33:204 AM,42012.367188,-48909.257812,4890.47998,5.0,-6.0,-1.0,237.643005,7.228,-1.267,0.509,93.0,-10.0,9.0,-0.03,1.0,0.0,false
May 22 2024 10:03:33:301 AM,42013.859375,-48909.457031,4890.540039,5.0,-6.0,-1.0,237.698013,27.958002,-3.355,1.96,207.0,-21.0,15.0,-0.03,1.0,0.0,false
May 22 2024 10:03:33:405 AM,42018.988281,-48910.058594,4890.850098,5.0,-6.0,-1.0,238.013016,71.893005,-8.0,4.395,439.0,-46.0,24.0,-0.03,1.0,0.0,false
May 22 2024 10:03:33:508 AM,42028.828125,-48911.160156,4891.459961,5.0,-6.0,-1.0,238.617004,112.558006,-12.415001,6.886,407.0,-44.0,25.0,-0.03,1.0,0.0,false
May 22 2024 10:03:33:604 AM,42041.070312,-48912.527344,4892.179688,4.0,-6.0,-1.0,239.343018,144.943008,-16.041,9.051001,324.0,-36.0,22.0,-0.03,1.0,0.0,false
May 22 2024 10:03:33:707 AM,42057.519531,-48914.378906,4893.149902,4.0,-6.0,-1.0,240.308014,178.164001,-19.862001,11.119,332.0,-38.0,21.0,-0.03,1.0,0.0,false
May 22 2024 10:03:33:801 AM,42075.320312,-48916.398438,4894.189941,4.0,-6.0,-1.0,241.347015,207.76001,-23.380001,12.933001,296.0,-35.0,18.0,-0.03,1.0,0.0,false
