,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 10:37:00:712 AM,38107.359375,-49543.757812,4891.109863,-1.0,-16.0,4.0,129.487,575.715027,-173.356003,-20.713001,331.0,-18.0,-14.0,0.02,1.0,0.0,true
May 21 2024 10:37:00:808 AM,38162.800781,-49559.648438,4889.060059,-1.0,-16.0,4.0,131.529999,579.236023,-169.665009,-20.445002,35.0,37.0,3.0,0.02,1.0,0.0,true
May 21 2024 10:37:00:912 AM,38223.019531,-49576.679688,4886.919922,-1.0,-16.0,3.0,133.672012,582.600037,-166.446014,-19.531,34.0,32.0,9.0,0.02,1.0,0.0,true
May 21 2024 10:37:01:9 AM,38279.757812,-49592.46875,4885.02002,-1.0,-16.0,3.0,135.570999,585.341003,-164.309006,-18.694,27.0,21.0,8.0,0.02,1.0,0.0,true
May 21 2024 10:37:01:111 AM,38339.519531,-49608.867188,4883.129883,-1.0,-16.0,3.0,137.464005,587.958008,-162.556015,-17.734001,26.0,18.0,10.0,0.02,1.0,0.0,true
May 21 2024 10:37:01:211 AM,38397.839844,-49624.667969,4881.350098,-1.0,-16.0,3.0,139.249008,590.256042,-161.749008,-17.887001,23.0,8.0,-2.0,0.02,1.0,0.0,true
May 21 2024 10:37:01:313 AM,38462.109375,-49641.859375,4879.489746,-1.0,-15.0,3.0,141.104004,640.730042,-173.302002,-19.039001,505.0,-116.0,-12.0,0.02,1.0,0.0,true
May 21 2024 10:37:01:409 AM,38526.640625,-49658.847656,4877.709961,-1.0,-15.0,3.0,142.882004,681.363037,-181.826004,-19.144001,406.0,-85.0,-1.0,0.02,1.0,0.0,true
May 21 2024 10:37:01:513 AM,38600.378906,-49677.96875,4875.75,0.0,-15.0,2.0,144.840012,720.487061,-189.046005,-19.202002,391.0,-72.0,-1.0,0.02,1.0,0.0,true
May 21 2024 10:37:01:607 AM,38670.328125,-49695.789062,4873.97998,0.0,-15.0,2.0,146.618011,752.819031,-194.287003,-19.038,323.0,-52.0,2.0,0.02,1.0,0.0,true
May 21 2024 10:37:01:710 AM,38749.1875,-49715.539062,4872.089844,0.0,-14.0,2.0,148.502014,785.605042,-198.785004,-18.426001,328.0,-45.0,6.0,0.02,1.0,0.0,true
May 21 2024 10:37:01:808 AM,38828.539062,-49735.027344,4870.310059,0.0,-14.0,2.0,150.284012,815.750061,-202.459015,-17.943001,301.0,-37.0,5.0,0.02,1.0,0.0,true
May 21 2024 10:37:01:913 AM,38916.558594,-49756.207031,4868.489746,0.0,-14.0,2.0,152.103012,846.796021,-205.618011,-16.914001,310.0,-32.0,10.0,0.02,1.0,0.0,true
May 21 2024 10:37:02:9 AM,38999.46875,-49775.738281,4866.899902,0.0,-13.0,1.0,153.689011,874.305054,-207.955017,-16.278,275.0,-23.0,6.0,0.02,1.0,0.0,true
May 21 2024 10:37:02:112 AM,39091.070312,-49796.828125,4865.330078,0.0,-13.0,1.0,155.265015,903.055054,-209.899017,-14.839001,287.0,-19.0,14.0,0.02,1.0,0.0,true
May 21 2024 10:37:02:213 AM,39184.398438,-49817.828125,4863.870117,0.0,-13.0,1.0,156.721008,931.016052,-211.289017,-14.068001,280.0,-14.0,8.0,0.02,1.0,0.0,true
May 21 2024 10:37:02:308 AM,39274.597656,-49837.640625,4862.639648,0.0,-13.0,1.0,157.952011,956.80603,-212.145004,-12.364,258.0,-9.0,17.0,0.02,1.0,0.0,true
May 21 2024 10:37:02:410 AM,39372.96875,-49858.789062,4861.419922,1.0,-12.0,1.0,159.172012,983.933044,-212.618011,-11.774,271.0,-5.0,6.0,0.02,1.0,0.0,true
May 21 2024 10:37:02:511 AM,39474.289062,-49880.027344,4860.389648,1.0,-12.0,0.0,160.205002,1010.563049,-212.864014,-8.927,266.0,-2.0,28.0,0.02,1.0,0.0,true
May 21 2024 10:37:02:611 AM,39577.449219,-49901.117188,4859.669922,1.0,-12.0,0.0,160.92601,1036.491089,-212.892014,-6.91,259.0,0.0,20.0,0.02,1.0,0.0,true
May 21 2024 10:37:02:709 AM,39680.667969,-49921.789062,4859.199707,1.0,-11.0,0.0,161.396011,1061.444092,-212.110016,-3.993,250.0,8.0,29.0,0.02,1.0,0.0,true
May 21 2024 10:37:02:813 AM,39792.519531,-49943.507812,4859.080078,1.0,-11.0,0.0,161.519012,1087.337036,-210.950012,0.576,259.0,12.0,46.0,0.02,1.0,0.0,true
May 21 2024 10:37:02:910 AM,39899.9375,-49963.757812,4859.339844,1.0,-11.0,0.0,161.782013,1111.405029,-209.05101,3.98,241.0,19.0,34.0,0.02,1.0,0.0,true
May 21 2024 10:37:03:14 AM,40017.230469,-49985.167969,4859.959961,1.0,-10.0,0.0,162.402008,1136.781006,-206.818008,6.684,254.0,22.0,27.0,0.02,1.0,0.0,true
May 21 2024 10:37:03:108 AM,40124.308594,-50004.097656,4860.699707,2.0,-10.0,0.0,163.142014,1159.273071,-204.074005,8.797001,225.0,27.0,21.0,0.02,1.0,0.0,true
May 21 2024 10:37:03:210 AM,40244.878906,-50024.679688,4861.699707,2.0,-10.0,0.0,164.143005,1183.824097,-201.059006,9.837001,246.0,30.0,10.0,0.02,1.0,0.0,true
May 21 2024 10:37:03:312 AM,40365.699219,-50044.539062,4862.699707,2.0,-9.0,0.0,165.146011,1207.764038,-197.883011,10.328,239.0,32.0,5.0,0.02,1.0,0.0,true
