,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 20 2024 2:45:41:680 PM,37721.539062,-49440.058594,4903.159668,-3.0,-1.0,1.0,117.337006,270.647003,-23.636002,-33.945004,205.0,-90.0,-84.0,-0.02,1.0,0.0,true
May 20 2024 2:45:41:780 PM,37729.558594,-49438.917969,4901.310059,-3.0,-2.0,2.0,119.189003,78.987007,11.190001,-7.679,-1917.0,348.0,263.0,-0.02,1.0,0.0,true
May 20 2024 2:45:41:881 PM,37740.089844,-49439.007812,4900.529785,-3.0,-2.0,2.0,119.967003,124.818008,-11.419001,-8.855,458.0,-226.0,-12.0,-0.02,1.0,0.0,true
May 20 2024 2:45:41:981 PM,37754.121094,-49439.5,4899.609863,-3.0,-2.0,1.0,120.887009,164.724014,-20.546001,-8.087001,399.0,-91.0,8.0,-0.02,1.0,0.0,true
May 20 2024 2:45:42:80 PM,37771.320312,-49440.277344,4898.72998,-4.0,-2.0,1.0,121.770004,187.964005,-5.748,-6.689,232.0,148.0,14.0,-0.02,1.0,0.0,true
May 20 2024 2:45:42:181 PM,37791.339844,-49440.910156,4897.72998,-4.0,-2.0,1.0,122.763008,216.589005,-10.451,-12.880001,286.0,-47.0,-62.0,-0.02,1.0,0.0,true
May 20 2024 2:45:42:277 PM,37815.828125,-49443.089844,4899.169922,-2.0,-2.0,2.0,124.195007,247.202011,-2.781,8.252001,306.0,77.0,211.0,-0.02,1.0,0.0,true
May 20 2024 2:45:42:380 PM,37844.257812,-49445.039062,4900.02002,-1.0,-2.0,3.0,125.044006,278.20401,-14.291,-7.847001,310.0,-115.0,-161.0,-0.02,1.0,0.0,true
May 20 2024 2:45:42:481 PM,37874.179688,-49446.390625,4898.889648,-1.0,-3.0,3.0,126.167007,321.52301,-23.327002,-19.538,433.0,-90.0,-117.0,-0.02,1.0,0.0,true
May 20 2024 2:45:42:580 PM,37909.519531,-49448.207031,4897.0,-1.0,-3.0,3.0,128.059006,381.828003,-24.773001,-21.588001,603.0,-14.0,-20.0,-0.02,1.0,0.0,true
May 20 2024 2:45:42:680 PM,37951.070312,-49450.46875,4894.77002,-1.0,-3.0,3.0,130.291,430.679016,-30.997002,-31.054001,489.0,-62.0,-95.0,-0.02,1.0,0.0,true
May 20 2024 2:45:42:780 PM,37994.148438,-49452.050781,4890.569824,0.0,-4.0,1.0,134.492004,276.315002,-9.997001,-30.314001,-1544.0,210.0,7.0,-0.02,1.0,0.0,true
May 20 2024 2:45:42:880 PM,38019.179688,-49458.320312,4898.299805,-2.0,-8.0,8.0,142.225006,298.738007,72.549004,52.015003,224.0,825.0,823.0,-0.02,1.0,0.0,true
May 20 2024 2:45:42:980 PM,38056.859375,-49474.339844,4945.299805,5.0,-6.0,31.0,189.226013,313.126007,165.369003,146.285004,144.0,928.0,943.0,-0.02,1.0,0.0,false
May 20 2024 2:45:43:81 PM,38086.058594,-49473.289062,4962.259766,5.0,-6.0,40.0,206.188004,306.622009,87.102005,39.310001,-65.0,-783.0,-1070.0,-0.02,1.0,0.0,false
May 20 2024 2:45:43:180 PM,38115.167969,-49473.917969,4966.0,5.0,-6.0,44.0,209.925003,303.427002,12.861001,-44.892002,-32.0,-742.0,-842.0,-0.02,1.0,0.0,false
May 20 2024 2:45:43:280 PM,38144.570312,-49477.007812,4960.719727,3.0,-6.0,47.0,215.208008,315.870026,-18.810001,-97.187004,124.0,-317.0,-523.0,-0.02,1.0,0.0,false
May 20 2024 2:45:43:380 PM,38173.371094,-49478.359375,4949.22998,1.0,-7.0,46.0,226.701004,336.882019,-33.047001,-92.507004,210.0,-142.0,47.0,-0.02,1.0,0.0,false
May 20 2024 2:45:43:480 PM,38204.738281,-49476.367188,4937.279785,-1.0,-8.0,41.0,238.646011,360.519012,-64.112,-70.077003,236.0,-311.0,224.0,-0.02,1.0,0.0,false
May 20 2024 2:45:43:580 PM,38241.828125,-49475.769531,4926.299805,-2.0,-9.0,35.0,249.623016,382.473022,-95.458008,-66.283005,220.0,-313.0,38.0,-0.02,1.0,0.0,true
May 20 2024 2:45:43:680 PM,38282.519531,-49477.488281,4915.290039,-2.0,-10.0,29.0,260.637024,403.860016,-129.343002,-69.630005,214.0,-339.0,-33.0,-0.02,1.0,0.0,true
May 20 2024 2:45:43:780 PM,38325.527344,-49482.597656,4904.159668,-2.0,-10.0,22.0,271.764008,425.307007,-156.225006,-76.167,214.0,-269.0,-65.0,-0.02,1.0,0.0,true
May 20 2024 2:45:43:880 PM,38376.109375,-49492.558594,4909.859863,2.0,-8.0,22.0,277.458008,458.072021,-76.399002,52.370003,328.0,798.0,1285.0,-0.02,1.0,0.0,true
